,DIVISION,TYPEHUQ,KOWNRENT,YEARMADERANGE,SQFTEST,KWH,BTUNG,TOTALBTUSPH,KWHCOL,SQM,NormalizedGasKWh,NormalizedElecKWh,NormalizedHeatKWh,NormalizedCoolKWh,YRCONC,Source
329,3,2,1,8,3000,12000.73,74256.15,52559.11,3138.75,278.709,78.0826027743991,43.05827942405878,55.26750455424834,11.261746122299602,3,RECS
330,5,3,1,6,1560,14561.69,0.0,3715.46,5476.39,144.92867999999999,0.0,100.47486805234135,7.513306390839965,37.78679278663133,2,RECS
331,5,2,2,7,1380,19032.34,0.0,0.0,7859.0,128.20614,0.0,148.4510804240733,0.0,61.29971622263957,3,RECS
332,4,2,1,8,3270,11579.51,70323.19,54684.12,3779.48,303.79281,67.84126199856411,38.11647155177899,52.754144288404994,12.440979100196612,3,RECS
333,2,2,1,3,3000,13184.0,0.0,72420.09,1344.66,278.709,0.0,47.30381867826299,76.15192977761753,4.824602004240983,1,RECS
334,1,5,2,1,2400,5238.45,2840.22,1875.43,1662.43,222.9672,3.7332222659655776,23.49426283327772,2.465089688214231,7.455939707723827,0,RECS
335,6,4,2,6,800,5007.07,28918.41,14274.71,1248.77,74.3224,114.03220747863362,67.36959516915492,56.28859582588829,16.80206774808133,2,RECS
336,1,4,2,3,600,3340.02,0.0,1368.77,340.56,55.7418,0.0,59.919485915417155,7.196516665590276,6.10959818305114,1,RECS
337,6,2,2,8,2000,27703.42,66837.17,66837.17,1140.05,185.806,105.42197910223567,149.09862975361398,105.42197910223567,6.135700677050256,3,RECS
338,8,2,1,1,530,6340.91,14275.51,14715.36,601.36,49.23859,84.9686798750736,128.77927657960961,87.58669309092727,12.213184821092561,0,RECS
339,1,5,2,4,1170,5560.23,0.0,11411.56,0.0,108.69651,0.0,51.15371229490256,30.76821234426018,0.0,1,RECS
340,4,2,1,3,1390,11628.03,165023.66,140792.76,561.4,129.13517,374.5195755723248,90.04541520330984,319.52778600872256,4.3473826688732435,1,RECS
341,8,2,1,6,3200,11264.09,96186.08,76410.63,2231.19,297.2896,94.82117992583663,37.88928371527292,75.32634759080035,7.505106132202405,2,RECS
342,5,2,1,7,1400,17667.51,0.0,21321.48,1218.94,130.0642,0.0,135.83684057565418,48.043254524150385,9.371833294634497,3,RECS
343,7,5,2,5,900,3443.91,0.0,1429.4,485.98,83.6127,0.0,41.18883853768626,5.010192080868099,5.812274929526256,2,RECS
344,9,5,2,1,680,2238.8,9162.9,631.54,0.0,63.17404,42.507654503337136,35.43860737733411,2.9297803233733353,0.0,0,RECS
345,9,2,2,5,1300,21068.96,0.0,43538.72,0.0,120.7739,0.0,174.44961204366174,105.65143801036484,0.0,2,RECS
