,DIVISION,TYPEHUQ,KOWNRENT,YEARMADERANGE,SQFTEST,KWH,BTUNG,TOTALBTUSPH,KWHCOL,SQM,NormalizedGasKWh,NormalizedElecKWh,NormalizedHeatKWh,NormalizedCoolKWh,YRCONC,Source
899,4,3,1,5,960,4660.61,51877.1,40552.92,954.19,89.18688,170.46984460158265,52.25667721530341,133.25821934033345,10.69877094029974,2,RECS
900,9,4,2,4,600,3005.07,14958.44,4216.08,1592.09,55.7418,78.64627567175802,53.910530338094574,22.16668248388104,28.561869189728355,1,RECS
901,6,2,1,4,2400,27532.46,0.0,33207.42,5696.31,222.9672,0.0,123.48210857919909,43.64826659176776,25.547748727167047,1,RECS
902,7,2,1,7,1990,9373.75,59333.15,45773.85,2261.33,184.87697,94.0562018278967,50.70263754322672,72.56170410706105,12.231539709894639,3,RECS
903,9,2,1,6,1100,5494.04,36851.8,22601.09,487.96,102.1933,105.68397221539966,53.76125440708931,64.81563906234558,4.77487271670452,2,RECS
904,2,2,1,4,2180,8727.93,55205.69,44741.49,1386.0,202.52854,79.88595964790939,43.09481518012227,64.74363176562672,6.843479936210472,1,RECS
905,7,5,2,7,1300,6574.94,0.0,7274.26,752.18,120.7739,0.0,54.44007355893947,17.65178281449883,6.228001248614146,3,RECS
906,4,5,2,9,910,4523.88,0.0,3022.56,352.67,84.54173,0.0,53.51061540850891,10.477957829346526,4.171549363846706,3,RECS
907,7,1,2,5,1280,12415.4,41683.24,31592.87,4674.1,118.91584,102.72936582746252,104.40493041128919,77.86140184327,39.305949484946666,2,RECS
908,1,2,1,7,850,5657.51,0.0,31085.01,138.17,78.96755,0.0,71.64347887201768,115.36529834989182,1.7497060501433814,3,RECS
909,2,2,1,1,1690,13908.75,124420.81,118399.04,3357.29,157.00607,232.24663356970848,88.58733933025647,221.0062646102791,21.383186013126753,0,RECS
910,7,2,1,4,2130,21908.91,0.0,14672.99,7132.33,197.88339,0.0,110.71626577652627,21.731120799426375,36.04309588591544,1,RECS
911,1,2,1,7,1750,9973.04,0.0,52690.51,0.0,162.58025,0.0,61.34226020688245,94.98115826621007,0.0,3,RECS
912,2,5,3,7,850,5908.39,28009.64,9431.04,0.0,78.96755,103.95172706307845,74.82048005794786,35.001267278014836,0.0,3,RECS
913,4,2,2,7,1800,12638.18,26122.21,21977.98,316.72,167.2254,45.78049869762608,75.5757199564181,38.51752530763868,1.8939706527836082,3,RECS
914,3,2,1,4,1500,7323.58,85672.65,55292.18,1725.02,139.3545,180.17480029816045,52.553595327025675,116.28282175875196,12.378645827727127,1,RECS
915,9,4,2,4,550,2102.32,84430.85,4668.12,0.0,51.09665,484.26332529334127,41.14398889163967,26.774565387750474,0.0,1,RECS
916,4,2,1,3,2060,12095.43,94312.39,64943.4,3539.83,191.38018,144.4257521844216,63.20105875122492,99.45140181914346,18.49632495904226,1,RECS
917,3,2,1,7,1810,29672.08,0.0,51084.38,396.66,168.15443,0.0,176.45731961982804,89.03333876472955,2.3589030630950374,3,RECS
918,6,2,1,1,2000,5650.1,17802.09,17802.09,1290.39,185.806,28.079159544847855,30.408598215342884,28.079159544847855,6.944824171447639,0,RECS
919,3,2,1,6,1200,7921.11,55606.6,35898.25,1259.12,111.4836,146.18008270812928,71.05179595922628,94.37025738090625,11.294217266037336,2,RECS
920,4,3,1,4,1400,19056.61,87064.29,111539.37,251.39,130.0642,196.18018282194484,146.51695085965238,251.32937968534,1.9328147176548196,1,RECS
921,4,2,1,3,1950,10882.61,0.0,79437.05,1847.9,181.16085,0.0,60.07153311546065,128.50842596813825,10.200327499015378,1,RECS
922,7,4,2,6,1000,7969.52,0.0,0.0,1432.29,92.903,0.0,85.78323627869929,0.0,15.417047888658061,2,RECS
923,5,1,1,6,1600,4946.11,0.0,2408.77,1441.21,148.6448,0.0,33.27469242112741,4.749178125773656,9.69566375682163,2,RECS
924,3,2,1,2,2100,11683.0,139746.31,129205.94,1905.14,195.09629999999999,209.92500020764106,59.88324740141151,194.09140020461695,9.765126247909366,0,RECS
925,8,4,2,5,600,5965.51,0.0,8314.04,0.0,55.7418,0.0,107.02040479496537,43.712331084392694,0.0,2,RECS
926,4,2,1,1,2300,6855.63,0.0,57584.89,1317.5,213.6769,0.0,32.084095192320746,78.98121555109608,6.165851339101232,0,RECS
927,5,3,1,1,4200,4764.41,80142.92,62213.27,1745.31,390.19259999999997,60.194800483966134,12.210405835477147,46.7279626834799,4.472944899518853,0,RECS
928,9,2,1,2,2390,26051.28,73143.67,72142.26,948.91,222.03817,96.54325880352013,117.32793510232946,95.22148502872277,4.273634573731174,0,RECS
929,9,3,1,5,1280,18026.65,38439.57,15611.27,2568.65,118.91584,94.7352616730454,151.5916634823418,38.474357244333476,21.60057062204665,2,RECS
930,8,2,1,4,2400,12612.72,71141.01,46398.55,3869.52,222.9672,93.5086727631239,56.56760276847895,60.986860161718866,17.35466023702141,1,RECS
931,4,2,1,4,1180,6748.68,58319.34,44233.41,483.85,109.62554,155.9099028669779,61.56120188780826,118.25282413304419,4.41366126908018,1,RECS
932,3,3,2,6,1100,6889.67,50201.86,33324.4,1184.79,102.1933,143.9694120070494,67.41802055516361,95.56805810557053,11.593617194082196,2,RECS
933,7,2,2,8,1500,11296.98,24168.35,12794.88,3631.34,139.3545,50.82751186972793,81.06648870327115,26.90841183083431,26.05829018797384,3,RECS
934,1,2,1,1,1720,3277.56,0.0,83318.56,553.91,159.79316,0.0,20.511265939042698,152.81163284936605,3.4664187127909605,0,RECS
935,7,2,1,1,1380,23963.66,0.0,2876.93,10706.46,128.20614,0.0,186.91507286624494,6.57647716427622,83.50972894121918,0,RECS
936,9,2,1,1,1000,5475.1,55469.18,23108.88,98.64,92.903,174.98259530671777,58.933511296728845,72.89907290916332,1.0617525806486334,0,RECS
937,3,2,1,3,2070,13245.69,57288.36,53422.93,645.27,192.30921,87.3050071473956,68.87704442236542,81.41425737243682,3.355377519360617,1,RECS
938,1,2,1,4,1800,5037.78,0.0,56237.26,927.3,167.2254,0.0,30.125686648080972,98.55865212736823,5.545210237200807,1,RECS
939,9,2,1,4,2200,6550.48,0.0,0.0,0.0,204.3866,0.0,32.04945921112245,0.0,0.0,1,RECS
940,5,2,1,5,2780,12774.79,0.0,45363.73,2470.41,258.27034,0.0,49.46286127938656,51.47626984511657,9.565209849493364,2,RECS
941,5,4,2,5,920,7997.0,0.0,7799.48,820.4,85.47076,0.0,93.56416159163672,26.74366535502902,9.598604247815276,2,RECS
942,9,2,1,6,3000,7753.86,180242.1,123939.48,0.0,278.709,189.53005639968572,27.820630119587094,130.32613709309712,0.0,2,RECS
943,4,3,1,9,2500,9688.84,48825.16,33101.18,1315.68,232.2575,61.60937091960433,41.7159402817993,41.76827841417393,5.664747101815873,3,RECS
944,4,3,1,8,810,4169.5,36626.96,30680.24,290.62,75.25143,142.64579150402858,55.40758494556183,119.48595019443485,3.8619864100921406,3,RECS
945,8,2,1,1,1940,3460.86,74445.08,59157.29,0.0,180.23182,121.05350786936515,19.202269610327413,96.1943686613718,0.0,0,RECS
946,7,2,2,9,2500,15648.24,31850.86,27309.68,4521.93,232.2575,40.190578952498846,67.37453042420589,34.460352097478015,19.469468154957323,3,RECS
947,5,3,1,5,1400,7749.09,0.0,4122.57,1557.35,130.0642,0.0,59.57896177426225,9.289302609557433,11.97370221782781,2,RECS
948,7,4,2,4,1000,10998.04,0.0,5763.11,2593.05,92.903,0.0,118.38196828950626,18.18025694337104,27.911369923468563,1,RECS
949,3,2,1,5,2800,17985.66,175910.24,112411.29,4944.3,260.1284,198.1874718294504,69.1414701355177,126.64702958842634,19.007151852700435,2,RECS
950,3,3,1,3,950,4413.15,111967.15,96722.57,825.11,88.25785,371.8006343645353,50.00291758750071,321.17913944731265,9.348856787243287,1,RECS
951,6,2,1,2,1200,10324.71,66897.22,45603.03,3143.91,111.4836,175.86115951243053,92.61191780674467,119.88243656582674,28.20065014046909,0,RECS
952,2,2,1,2,1700,5957.76,100160.47,74596.0,636.73,157.9351,185.8619718059507,37.72283678548973,138.4234683487078,4.0315927238466935,0,RECS
953,8,2,1,7,1800,8445.9,35923.98,18200.59,1186.69,167.2254,62.95859805137258,50.506083405989756,31.89745763436655,7.0963501956042565,3,RECS
954,9,2,1,1,1550,7404.69,93038.52,70328.27,0.0,143.99965,189.35387756095244,51.42158331634833,143.1335174576466,0.0,0,RECS
955,1,3,2,7,1000,8106.65,0.0,7312.45,1080.92,92.903,0.0,87.25929194966793,23.067791502427262,11.634931057124097,3,RECS
956,7,2,1,7,3180,15131.06,16726.49,7231.47,4591.53,295.43154,16.5928429672404,51.21680643847302,7.173689526751274,15.541773231118112,3,RECS
957,8,2,1,6,1790,4524.93,56103.8,45900.3,0.0,166.29637,98.87405702120859,27.21003471092003,80.89200516704004,0.0,2,RECS
958,5,2,1,2,2200,16573.23,0.0,21438.92,1472.93,204.3866,0.0,81.08765447441272,30.741377973507074,7.206587907426417,0,RECS
959,5,2,1,6,3600,11896.71,92696.43,73820.97,3499.19,334.4508,81.22759890701413,35.57088217459788,64.68749812788607,10.462495529985278,2,RECS
960,5,2,1,6,1050,16025.0,0.0,0.0,7118.91,97.54814999999999,0.0,164.27784637637927,0.0,72.97842142572668,2,RECS
961,4,2,1,1,850,7121.05,82802.68,56662.94,790.11,78.96755,307.30425637214273,90.17691444143829,210.2922591461936,10.005502260105574,0,RECS
962,7,2,1,1,2000,40780.46,61569.32,90891.9,15027.46,185.806,97.11302208604673,219.47870359407122,143.3634006700537,80.87715143752085,0,RECS
963,9,2,1,3,2500,7094.98,56806.78,39121.94,1290.46,232.2575,71.68087067750234,30.547904803935285,49.36549337584363,5.556160726779544,1,RECS
964,2,5,2,1,1250,2229.74,31285.86,18356.12,1159.8,116.12875,78.95528261571748,19.200585556978783,46.32484586736704,9.987190941089093,0,RECS
965,5,1,1,5,1150,20042.67,0.0,23550.23,7422.16,106.83845,0.0,187.59791067728892,64.60117547877192,69.47086933589921,2,RECS
966,5,2,1,7,1700,5145.17,48774.76,38712.72,1192.89,157.9351,90.50849170298433,32.5777487081719,71.83694798129105,7.553039191414702,3,RECS
967,5,2,1,3,2760,25050.82,102537.88,57598.63,9556.83,256.41228,117.19750329227604,97.69742697190634,65.83338400458044,37.27134285456219,1,RECS
968,3,3,2,4,840,9755.28,0.0,24931.39,551.59,78.03852,0.0,125.0059585958319,93.62898474612281,7.068176075097273,1,RECS
969,6,3,1,5,1180,10496.7,0.0,16225.08,1353.8,109.62554,0.0,95.75049755741226,43.37584490511974,12.349312030754877,2,RECS
970,4,5,2,4,1130,5291.15,36072.11,25731.75,1923.29,104.98039,100.70156292818118,50.4013178080211,71.8346512548677,18.320469184768697,1,RECS
971,4,2,1,4,3800,12126.87,81280.84,55377.41,242.79,353.0314,67.47574595245635,34.350683820192764,45.97186801545132,0.6877291934938364,1,RECS
972,2,4,2,9,1100,5191.0,17418.58,14989.09,316.84,102.1933,49.953183419852394,50.79589366426175,42.985866934427214,3.100398949833306,3,RECS
973,6,1,1,8,320,7223.13,0.0,4506.52,438.26,29.72896,0.0,242.96611788639763,44.42571562947376,14.741854407285016,3,RECS
974,8,5,2,5,700,12179.97,0.0,1986.88,3973.03,65.0321,0.0,187.291660579929,8.95399208206409,61.09336773685611,2,RECS
975,8,2,1,4,3300,8700.94,74193.08,69618.39,1286.23,306.5799,70.92389340814582,28.38066031073792,66.55077901613903,4.195415289782533,1,RECS
976,7,2,1,5,3680,13476.88,84704.13,66729.02,5140.01,341.88304,72.61057490079064,39.41956290080959,57.201844877768735,15.034410598431558,2,RECS
977,5,2,1,7,2160,19869.09,0.0,10205.41,6178.37,200.67048,0.0,99.01351708532316,14.904582448350151,30.788634182765698,3,RECS
978,1,2,2,5,1300,8950.47,55371.73,38853.55,2014.97,120.7739,134.365523369122,74.10930672935129,94.28236359056056,16.6838199312931,2,RECS
979,9,2,2,4,2200,19790.05,75857.77,0.0,3961.08,204.3866,108.772847689966,96.82655320847844,0.0,19.38033119588075,1,RECS
980,3,2,1,3,2000,10054.7,68375.15,48910.62,1693.2,185.806,107.84782830290733,54.11396833256192,77.14650933780395,9.112730482331033,1,RECS
981,6,2,1,4,2460,20576.84,0.0,50126.46,2702.6,228.54138,0.0,90.0355112934034,64.27987683744625,11.825429600538861,1,RECS
982,9,2,1,1,2340,4817.98,73933.13,29115.02,0.0,217.39302,99.67043257520412,22.162533093288825,39.250423157192444,0.0,0,RECS
983,8,2,1,1,800,6544.5,0.0,5855.05,2065.9,74.3224,0.0,88.05555256557915,23.087862589878693,27.796465130297193,0,RECS
984,8,2,1,4,1040,21384.24,0.0,14674.37,1368.56,96.61912,0.0,221.32513730201643,44.51119292195997,14.164484213890583,1,RECS
985,5,1,1,6,1550,9723.55,0.0,14908.7,621.09,143.99965,0.0,67.52481690059663,30.342487760907755,4.313135483315411,2,RECS
986,9,2,1,1,2970,25924.96,1195.74,30890.23,0.0,275.92191,1.2700575954261841,93.95759836542156,32.81011861772775,0.0,0,RECS
987,9,2,1,5,1600,3199.96,8491.68,1529.53,934.84,148.6448,16.74236266105508,21.527561004488554,3.015651315283145,6.289086466529606,2,RECS
988,9,2,1,3,2890,9268.34,193058.55,144358.76,0.0,268.48967,210.73385172342014,34.52028526833081,157.5753962972207,0.0,1,RECS
989,8,2,1,7,2300,4785.42,58800.94,43118.47,505.37,213.6769,80.64910285922345,22.395588854012765,59.13963147803998,2.365112934528721,3,RECS
990,1,2,1,4,2100,5773.21,0.0,48773.03,295.91,195.09629999999999,0.0,29.59159143458897,73.26618021525782,1.5167381441882806,1,RECS
991,3,2,1,1,1560,8211.62,93312.63,48495.61,0.0,144.92867999999999,188.69436875247885,56.65973084140421,98.066558795057,0.0,0,RECS
992,5,1,2,5,1000,12617.77,0.0,13992.03,2528.59,92.903,0.0,135.81660441535794,44.139136778467865,27.217527959269344,2,RECS
993,9,2,1,6,1200,3387.71,25719.73,1865.32,879.67,111.4836,67.61269810833164,30.387518881700988,4.9036019443218555,7.890577627561363,2,RECS
994,3,5,2,2,700,1985.4,21134.5,2961.35,875.24,65.0321,95.24387263366862,30.52953848945367,13.34549869756628,13.458584299138426,0,RECS
995,6,2,1,2,1150,13450.14,0.0,18739.62,1457.28,106.83845,0.0,125.89231685783535,51.40508097056818,13.640033152858358,0,RECS
996,3,1,1,5,850,13456.54,43488.66,40885.35,1001.3,78.96755,161.39876537717078,170.4059452268685,151.73714278649902,12.679891930292886,2,RECS
997,5,2,1,1,2400,11153.17,0.0,0.0,6285.45,222.9672,0.0,50.02157267974842,0.0,28.19002077435605,0,RECS
998,7,2,1,7,2400,17306.66,0.0,7760.34,4730.77,222.9672,0.0,77.61975752487362,10.200292258861394,21.21733600278427,3,RECS
999,9,2,1,1,1180,6565.79,68959.12,57853.53,414.56,109.62554,184.35410450447952,59.89288627449406,154.6646145654562,3.781600528489985,0,RECS
1000,9,2,1,6,2900,11210.4,83226.14,23995.74,4177.07,269.4187,90.5325728167347,41.609583893025984,26.10232889379988,15.50400918718708,2,RECS
1001,5,5,2,5,800,7157.53,0.0,4084.05,607.83,74.3224,0.0,96.3038061203621,16.104385993320992,8.17828810695026,2,RECS
1002,9,2,1,2,5000,21057.3,97547.19,59779.26,2118.62,464.515,61.5443043184612,45.3317976814527,37.71582727675102,4.560929141147218,0,RECS
1003,5,2,1,1,2000,15551.51,79132.14,55117.46,4711.53,185.806,124.8147820949808,83.69756627880692,86.93653121890574,25.357254340548742,0,RECS
1004,6,2,1,3,2180,17250.54,55802.9,45662.02,5202.87,202.52854,80.75015850062417,85.17584731514877,66.07569413881126,25.6895645423603,1,RECS
1005,4,2,1,2,940,3049.59,141713.56,128707.39,0.0,87.32882,475.58337262269214,34.92077414993126,431.93533926932724,0.0,0,RECS
1006,9,2,1,7,2400,9492.92,115604.52,55807.09,0.0,222.9672,151.95209107402346,42.57541019486274,73.35356802879528,0.0,3,RECS
1007,2,5,1,1,800,2464.65,1415.57,19880.37,515.76,74.3224,5.581931093048664,33.16160403862093,78.39305399543072,6.939496033497304,0,RECS
1008,5,2,1,8,1800,13848.79,0.0,7004.29,2800.8,167.2254,0.0,82.81511062314696,12.27537368479908,16.74865181963984,3,RECS
1009,2,4,2,4,750,4102.1,33238.88,7418.59,441.25,69.67725,139.80677768539948,58.872874575273855,31.203493104133702,6.332770021778988,1,RECS
1010,2,3,2,4,1130,5000.25,59402.67,48943.04,1073.3,104.98039,165.8328750690486,47.63032410148219,136.63300046646808,10.22381418091512,1,RECS
1011,5,2,1,5,1290,7088.48,0.0,0.0,1746.7,119.84487,0.0,59.14712911783374,0.0,14.57467474410878,2,RECS
1012,8,1,2,4,620,16849.57,16792.44,1595.71,5166.28,57.59986,85.44078376648832,292.5279679499221,8.119053161066713,89.69257911390757,1,RECS
1013,1,4,2,1,1000,5612.66,0.0,41169.35,0.0,92.903,0.0,60.41419545116949,129.87247531134622,0.0,0,RECS
1014,3,2,1,9,2100,15808.81,58914.44,58818.58,2868.89,195.09629999999999,88.50046794962284,81.03080376203957,88.35646836552002,14.70499440532701,3,RECS
1015,2,4,1,6,530,4700.52,62728.32,35345.52,593.25,49.23859,373.3626708384623,95.46414712525278,210.37862562514482,12.048476611535788,2,RECS
1016,8,2,1,7,2440,9602.14,156525.87,102299.63,1679.29,226.68332,202.36686689947015,42.359270192442914,132.2596424991923,7.408088076352508,3,RECS
1017,6,2,2,1,870,11682.27,0.0,18507.49,2328.84,80.82561,0.0,144.53673779882394,67.10754922591987,28.813144744592712,0,RECS
1018,4,5,2,5,1100,3755.81,38707.64,25808.45,1005.11,102.1933,111.00616931286105,36.75201798943767,74.01373915853586,9.835380597358144,2,RECS
1019,3,5,2,3,800,1422.82,50979.55,34702.82,406.63,74.3224,201.02455919144163,19.143892016404205,136.841519652487,5.471163471577882,1,RECS
1020,9,2,1,3,1900,4881.95,50632.76,36789.3,574.36,176.5157,84.06614032610132,27.657313202168417,61.08168814615358,3.2538748677879643,1,RECS
1021,8,2,1,5,2190,35453.32,0.0,104640.16,6373.56,203.45757,0.0,174.25412089606692,150.72919789300542,31.3262367185453,2,RECS
1022,4,2,1,1,880,21744.53,0.0,30211.74,2648.84,81.75464,0.0,265.97303834987224,108.30192455792113,32.39987357292504,0,RECS
1023,7,2,1,7,1820,16465.44,0.0,8062.3,3421.3,169.08346,0.0,97.3805480441434,13.974319683900484,20.23438602451121,3,RECS
1024,1,2,1,3,1750,4472.2,0.0,108922.16,1077.74,162.58025,0.0,27.507646223941713,196.3456591643819,6.628972461292192,1,RECS
1025,3,2,1,4,2100,11350.43,188521.6,160560.24,3445.26,195.09629999999999,283.19457536406384,58.17860205447259,241.19140187199864,17.659279032969874,1,RECS
1026,7,2,1,1,780,4084.42,19204.8,6946.5,1422.31,72.46433999999999,77.67089220435874,56.364551170962166,28.09406256235826,19.627723098009312,0,RECS
1027,5,2,1,2,1350,4617.55,0.0,683.19,217.92,125.41905,0.0,36.81697477376842,1.596433528160196,1.7375350873730904,0,RECS
1028,5,2,1,6,2750,12849.48,60889.64,43073.59,1384.91,255.48325,69.84797509989403,50.29480406249725,49.4107543053801,5.420746761284742,2,RECS
1029,3,2,1,4,1880,7496.01,46171.37,36331.13,969.48,174.65764,77.47436400302902,42.9183057780925,60.962695936060975,5.550744874372516,1,RECS
1030,5,2,1,5,2200,23519.22,0.0,23156.92,5819.34,204.3866,0.0,115.07222097730478,33.20482703523617,28.472218824521768,2,RECS
1031,8,2,1,6,3500,8855.01,111437.7,93882.56,0.0,325.1605,100.44011550203669,27.232735833534516,84.61746042880362,0.0,2,RECS
1032,2,2,2,2,1200,4151.84,0.0,104412.1,0.0,111.4836,0.0,37.24171088841767,274.48125606905415,0.0,0,RECS
1033,3,2,1,1,3600,15046.57,91141.13,58268.78,6407.17,334.4508,79.86472781715578,44.98888924768605,51.05949701235578,19.15728711069012,0,RECS
1034,9,2,1,7,2040,12737.2,73591.67,37760.97,0.0,189.52212,113.79982620799092,67.20693077937288,58.392367280769136,0.0,3,RECS
1035,5,5,2,8,1200,6288.94,0.0,5530.04,748.42,111.4836,0.0,56.41134660165262,14.537513614917353,6.713274418838286,3,RECS
1036,1,4,1,1,2000,7144.99,100690.67,89657.16,725.85,185.806,158.81895820140363,38.45403270077392,141.41585060956052,3.906493869950378,0,RECS
1037,6,5,2,7,650,4151.86,0.0,0.0,375.26,60.38695,0.0,68.75425899138804,0.0,6.214256557087252,3,RECS
1038,5,2,1,7,1830,9394.7,45907.33,42876.91,2533.33,170.01248999999999,79.13599236403162,55.258881273958174,73.91209252102597,14.900846402520193,3,RECS
1039,6,5,2,6,990,2463.53,15589.53,10702.43,744.55,91.97397,49.67534995640616,26.78507843034285,34.102821293133275,8.095225203391786,2,RECS
1040,6,5,2,8,1100,7239.12,0.0,5315.58,512.46,102.1933,0.0,70.83752065937787,15.244075161287483,5.01461446102631,3,RECS
1041,7,2,1,6,2700,17326.92,43094.26,27130.67,7124.3,250.8381,50.34991842331768,69.07610925134578,31.69858401722067,28.401985184866255,2,RECS
1042,5,2,1,3,2100,7467.44,75531.95,58271.99,1699.89,195.09629999999999,113.46306474520533,38.275661814191245,87.53538832509895,8.713081693502133,1,RECS
1043,9,4,1,4,1700,762.88,9912.04,0.0,0.0,157.9351,18.393197426284598,4.830338537791789,0.0,0.0,1,RECS
1044,5,5,2,4,600,4840.67,13854.93,7649.6,564.88,55.7418,72.8444038411031,86.84093445134532,40.218936625656156,10.133867223519871,1,RECS
1045,3,2,1,1,1600,6741.82,109440.69,84667.15,274.45,148.6448,215.77540861833043,45.355236106476646,166.93141177928862,1.8463478036231338,0,RECS
1046,9,2,2,2,910,5901.07,53301.74,29922.28,3332.9,84.54173,184.7749536653674,69.80067713305606,103.72809406526221,39.42313458690756,0,RECS
1047,5,3,1,7,2350,6975.52,48891.33,48891.33,1482.68,218.32205,65.63070919510879,31.950597752265523,65.63070919510879,6.791251731100913,3,RECS
1048,8,4,2,4,1200,18621.6,0.0,2015.07,6380.51,111.4836,0.0,167.03443376424872,5.297268656286665,57.23272301934993,1,RECS
1049,8,2,1,7,1730,18110.33,19147.02,10674.32,5491.72,160.72219,34.91388649208924,112.68095587796557,19.46422977885008,34.169021713803176,3,RECS
1050,3,2,1,8,3790,9982.24,91075.48,62702.94,2266.12,352.10237,75.80631166748466,28.350391393275768,52.190541429016804,6.435969175668996,3,RECS
1051,4,2,1,5,2800,12233.4,92629.29,66300.48,2742.99,260.1284,104.35984171505302,47.02831370969106,74.69675734783284,10.54475405222959,2,RECS
1052,1,2,1,3,1700,13271.73,0.0,62926.09,2694.93,157.9351,0.0,84.032808413076,116.76829357368945,17.063527993460603,1,RECS
1053,2,5,2,1,2000,14772.17,0.0,18994.9,1417.57,185.806,0.0,79.50319150081268,29.96057359773097,7.629301529552328,0,RECS
1054,3,2,1,2,2700,17322.96,0.0,19586.11,3161.3,250.8381,0.0,69.06032217593739,22.88376783196014,12.602949870852953,0,RECS
1055,5,3,1,5,1500,15300.33,0.0,8855.8,0.0,139.3545,0.0,109.7943015833719,18.624286706206114,0.0,2,RECS
1056,8,2,1,6,1650,11430.69,47629.52,35932.05,2153.04,153.28995,91.06161921195746,74.56907644630323,68.69753578463559,14.045539188968357,2,RECS
1057,9,1,1,4,450,8429.98,130991.24,117506.66,0.0,41.80635,918.2751830293724,201.6435302292594,823.7455399206101,0.0,1,RECS
1058,2,2,1,1,1300,12623.23,133123.25,106277.6,2847.16,120.7739,323.03804050999435,104.51951953195186,257.8941518788414,23.574298751634252,0,RECS
1059,3,5,2,9,900,9362.72,0.0,11818.93,316.26,83.6127,0.0,111.9772474755629,41.42654924467217,3.782439748985501,3,RECS
1060,5,5,2,1,500,1992.41,21476.02,3924.34,1014.13,46.4515,135.49613376145012,42.892263974252714,24.759378020946578,21.832018341711247,0,RECS
1061,9,5,2,3,550,2519.14,0.0,0.0,0.0,51.09665,0.0,49.30147084006486,0.0,0.0,1,RECS
1062,7,5,2,5,780,11074.85,34952.42,10870.96,1587.01,72.46433999999999,141.3597457980022,152.83172385203537,43.965944051377555,21.900565160739752,2,RECS
1063,9,2,2,3,1000,12080.03,0.0,12336.1,0.0,92.903,0.0,130.0284167357351,38.91535432763205,0.0,1,RECS
1064,3,3,2,5,1250,10164.08,95862.62,80782.05,2411.37,116.12875,241.92591331621156,87.52423495473774,203.86748480070614,20.764625469575794,2,RECS
1065,5,5,2,5,1700,9008.33,0.0,8009.94,919.94,157.9351,0.0,57.0381758076577,14.863580836305546,5.824797654226325,2,RECS
1066,3,2,2,3,1180,2842.34,85400.81,73677.82,0.0,109.62554,228.30903079255071,25.927717208964264,196.96899449909213,0.0,1,RECS
1067,5,2,2,3,2250,13541.44,62425.35,50650.1,6382.69,209.03175,87.52287511275203,64.78173770252606,71.01349654825165,30.53454798134733,1,RECS
1068,8,2,2,8,2780,19560.96,40920.21,22201.32,3395.67,258.27034,46.434007346372034,75.73831358258172,25.192838843670554,13.147735043830432,3,RECS
1069,4,2,2,2,1200,9432.45,55002.37,43069.86,2117.14,111.4836,144.59166709964518,84.60840877043799,113.22317309505614,18.99059592621695,0,RECS
1070,2,2,1,2,1540,7723.97,69692.06,57086.89,373.07,143.07062,142.75972045315805,53.987114894728215,116.93883719235998,2.6075933689250808,0,RECS
1071,9,1,1,5,1800,19131.2,0.0,13099.96,1400.24,167.2254,0.0,114.40367312621169,22.958344708160364,8.373369117370926,2,RECS
1072,8,3,1,3,1200,7956.39,8605.68,0.0,4154.7,111.4836,22.622836392796792,71.36825506173106,0.0,37.26736488595632,1,RECS
1073,7,2,1,9,5300,12092.51,0.0,11891.85,2547.12,492.3859,0.0,24.559009508598844,7.078099456848785,5.17301571795618,3,RECS
1074,5,5,2,3,600,10291.56,0.0,12001.34,816.13,55.7418,0.0,184.6291293069115,63.0988722133121,14.641256651202509,1,RECS
1075,5,5,3,3,1400,8928.7,14031.8,3533.01,5077.62,130.0642,31.617567768840313,68.64840594106603,7.960859127338654,39.03933595870347,1,RECS
1076,1,2,1,9,1800,8224.29,52824.03,52824.03,876.41,167.2254,92.5767933348044,49.18086606460502,92.5767933348044,5.240890438892656,3,RECS
1077,5,5,2,4,700,3674.18,24495.22,6432.57,1358.74,65.0321,110.38915582643035,56.4979448610763,28.988756667399638,20.893374195205137,1,RECS
1078,1,2,1,1,1220,10980.9,0.0,65527.19,1850.64,113.34166,0.0,96.88317605371228,169.43566117251152,16.327976844524777,0,RECS
1079,5,3,2,4,1600,10761.51,0.0,6090.08,2019.54,148.6448,0.0,72.3974871640313,12.007321047759492,13.586348126540585,1,RECS
1080,5,3,2,7,1500,9297.24,547.05,4323.1,3090.56,139.3545,1.1504794646028653,66.7164677136368,9.091742570925232,22.177683533721552,3,RECS
1081,1,2,1,6,1700,2384.33,44311.98,37565.28,115.17,157.9351,82.22716983482456,15.096897396462216,69.70771015993279,0.7292235861439287,2,RECS
1082,7,2,1,2,2000,20276.24,0.0,15609.72,3033.86,185.806,0.0,109.12586245869348,24.621143828078747,16.328105658590143,0,RECS
1083,5,4,2,6,700,4046.19,24046.6,10878.33,1188.68,65.0321,108.3674232971102,62.218350629919684,49.02383671186999,18.27835791862788,2,RECS
1084,5,5,2,4,870,8244.02,0.0,0.0,2925.32,80.82561,0.0,101.9976217933895,0.0,36.19298388221259,1,RECS
1085,3,2,1,7,3700,14861.22,137162.72,104540.26,3229.57,343.7411,116.94387291225867,43.23375936133328,89.13021613784328,9.395355981580323,3,RECS
1086,7,5,2,7,920,2390.08,0.0,304.93,165.46,85.47076,0.0,27.96371531035877,1.0455755866684702,1.935866722139829,3,RECS
1087,7,2,1,4,1800,23472.76,0.0,0.0,10387.33,167.2254,0.0,140.36599703155142,0.0,62.1157431825548,1,RECS
