DOEID,REGIONC,DIVISION,STATE_FIPS,state_postal,state_name,BA_climate,IECC_climate_code,UATYP10,,,,,TYPEHUQ,CELLAR,CRAWL,CONCRETE,BASEOTH,BASEFIN,ATTIC,ATTICFIN,STORIES,PRKGPLC1,SIZEOFGARAGE,KOWNRENT,YEARMADERANGE
102233,WEST,Pacific,53,WA,Washington,Marine,4C,U,,,,,2,0,0,1,0,-2,1,0,2,1,2,1,4
102234,MIDWEST,West North Central,19,IA,Iowa,Cold,5A,U,,,,,2,1,0,0,0,1,0,-2,2,1,2,1,3
102235,NORTHEAST,New England,25,MA,Massachusetts,Cold,5A,U,,,,,3,1,0,0,0,1,1,1,1,0,-2,1,5
102236,SOUTH,East South Central,21,KY,Kentucky,Mixed-Humid,4A,R,,,,,2,1,0,0,0,0,1,0,1,0,-2,1,6
102237,NORTHEAST,Middle Atlantic,36,NY,New York,Mixed-Humid,4A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,5
102238,SOUTH,South Atlantic,37,NC,North Carolina,Mixed-Humid,4A,U,,,,,3,0,0,1,0,-2,1,0,2,0,-2,1,7
102239,SOUTH,South Atlantic,51,VA,Virginia,Mixed-Humid,4A,R,,,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3
102240,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,Mixed-Humid,4A,U,,,,,2,1,1,1,1,0,1,0,5,1,1,1,2
102241,NORTHEAST,New England,50,VT,Vermont,Cold,6A,R,,,,,3,0,0,1,0,-2,1,0,2,0,-2,1,5
102242,SOUTH,East South Central,47,TN,Tennessee,Mixed-Humid,4A,R,,,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,6
102243,SOUTH,West South Central,22,LA,Louisiana,Hot-Humid,2A,U,,,,,2,0,1,0,0,-2,1,0,1,0,-2,1,3
102244,SOUTH,South Atlantic,45,SC,South Carolina,Mixed-Humid,3A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,6
102245,NORTHEAST,Middle Atlantic,36,NY,New York,Mixed-Humid,4A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1
102246,NORTHEAST,New England,50,VT,Vermont,Cold,6A,R,,,,,2,0,0,1,0,-2,0,-2,2,1,2,1,2
102247,MIDWEST,East North Central,39,OH,Ohio,Cold,5A,U,,,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4
102248,SOUTH,South Atlantic,24,MD,Maryland,Mixed-Humid,4A,U,,,,,3,0,0,1,0,-2,1,0,3,1,1,1,5
102249,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,Mixed-Humid,4A,U,,,,,3,1,0,0,0,1,0,-2,2,1,1,1,3
102250,WEST,Pacific,15,HI,Hawaii,Hot-Humid,1A,U,,,,,2,0,0,1,0,-2,1,0,2,1,2,1,7
102251,SOUTH,East South Central,28,MS,Mississippi,Hot-Humid,2A,C,,,,,2,0,0,1,0,-2,1,1,1,1,2,1,7
102252,SOUTH,East South Central,28,MS,Mississippi,Mixed-Humid,3A,U,,,,,2,0,0,1,0,-2,1,0,2,0,-2,1,6
102253,WEST,Pacific,02,AK,Alaska,Subarctic,8AK,R,,,,,2,0,0,0,1,-2,0,-2,1,0,-2,3,7
102254,SOUTH,South Atlantic,51,VA,Virginia,Mixed-Humid,4A,U,,,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,6
102255,WEST,Pacific,06,CA,California,Marine,3C,C,,,,,2,0,0,1,0,-2,0,-2,1,1,2,1,6
102256,NORTHEAST,New England,09,CT,Connecticut,Cold,5A,U,,,,,2,1,0,0,0,1,1,1,2,1,2,1,4
102257,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,Cold,5A,U,,,,,2,1,0,0,0,0,1,1,3,0,-2,1,2
102258,WEST,Mountain North,08,CO,Colorado,Cold,5B,U,,,,,2,0,0,0,1,-2,0,-2,5,1,1,2,5
102259,NORTHEAST,Middle Atlantic,36,NY,New York,Mixed-Humid,4A,U,,,,,2,1,1,0,0,0,1,0,2,0,-2,1,1
102260,SOUTH,South Atlantic,12,FL,Florida,Hot-Humid,2A,U,,,,,2,0,0,1,0,-2,0,-2,1,1,2,1,8
102261,WEST,Pacific,06,CA,California,Hot-Dry,3B,U,,,,,2,0,0,0,1,-2,0,-2,2,1,2,2,5
102262,MIDWEST,West North Central,38,ND,North Dakota,Very-Cold,7A,U,,,,,2,1,0,0,0,1,1,0,1,1,2,1,6
102263,SOUTH,South Atlantic,45,SC,South Carolina,Hot-Humid,3A,U,,,,,2,0,0,1,0,-2,1,0,2,1,2,1,8
102264,WEST,Pacific,06,CA,California,Hot-Dry,3B,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,7
102265,WEST,Mountain South,04,AZ,Arizona,Hot-Dry,2B,U,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,7
102266,MIDWEST,East North Central,26,MI,Michigan,Cold,6A,R,,,,,2,1,0,0,0,0,1,0,2,1,2,1,1
102267,WEST,Mountain South,04,AZ,Arizona,Hot-Dry,2B,U,,,,,2,0,0,1,0,-2,1,0,2,1,2,2,7
102268,NORTHEAST,New England,09,CT,Connecticut,Cold,5A,U,,,,,2,1,0,0,0,1,0,-2,2,0,-2,1,1
102269,WEST,Pacific,06,CA,California,Hot-Dry,3B,U,,,,,3,0,0,0,1,-2,1,0,2,1,1,1,6
102270,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,Mixed-Humid,4A,U,,,,,3,1,0,1,0,1,1,0,2,1,2,1,6
102271,SOUTH,West South Central,40,OK,Oklahoma,Mixed-Humid,3A,R,,,,,2,0,0,1,0,-2,1,1,1,1,3,1,6
102272,SOUTH,West South Central,05,AR,Arkansas,Mixed-Humid,4A,U,,,,,2,1,1,0,0,0,1,0,1,0,-2,2,2
102273,WEST,Pacific,06,CA,California,Hot-Dry,3B,R,,,,,2,0,1,1,0,-2,0,-2,1,1,1,1,1
102274,SOUTH,South Atlantic,37,NC,North Carolina,Mixed-Humid,4A,U,,,,,2,1,1,0,0,0,1,0,2,0,-2,1,1
102275,SOUTH,West South Central,05,AR,Arkansas,Mixed-Humid,3A,U,,,,,2,0,0,1,0,-2,0,-2,1,0,-2,1,3
102276,SOUTH,West South Central,48,TX,Texas,Hot-Humid,2A,R,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,9
102277,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,Cold,5A,U,,,,,3,1,0,0,0,1,1,0,2,0,-2,1,4
102278,SOUTH,South Atlantic,45,SC,South Carolina,Mixed-Humid,3A,U,,,,,2,0,1,0,0,-2,1,0,1,1,1,1,4
102279,SOUTH,South Atlantic,12,FL,Florida,Hot-Humid,2A,U,,,,,2,0,0,1,0,-2,0,-2,1,1,2,1,7
102280,NORTHEAST,Middle Atlantic,36,NY,New York,Cold,6A,R,,,,,2,1,0,0,0,0,1,0,2,0,-2,1,1
102281,MIDWEST,East North Central,55,WI,Wisconsin,Cold,6A,U,,,,,2,1,0,1,1,0,0,-2,3,0,-2,2,2
102282,SOUTH,South Atlantic,37,NC,North Carolina,Mixed-Humid,3A,R,,,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,6
102283,NORTHEAST,New England,50,VT,Vermont,Cold,6A,C,,,,,2,1,1,0,0,0,0,-2,3,0,-2,1,1
102284,WEST,Mountain North,16,ID,Idaho,Cold,5B,U,,,,,3,0,1,1,0,-2,0,-2,2,0,-2,2,3
102285,MIDWEST,East North Central,55,WI,Wisconsin,Cold,6A,U,,,,,2,1,0,0,0,1,1,0,1,0,-2,1,4
102286,NORTHEAST,New England,23,ME,Maine,Cold,6A,U,,,,,2,1,0,0,0,0,0,-2,2,0,-2,1,1
102287,SOUTH,East South Central,21,KY,Kentucky,Mixed-Humid,4A,U,,,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,5
102288,SOUTH,West South Central,05,AR,Arkansas,Mixed-Humid,3A,C,,,,,2,0,0,1,0,-2,1,1,1,0,-2,1,5
102289,WEST,Pacific,02,AK,Alaska,Subarctic,8AK,U,,,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3
102290,MIDWEST,West North Central,31,NE,Nebraska,Cold,5A,R,,,,,2,0,1,0,0,-2,0,-2,1,0,-2,1,4
102291,NORTHEAST,New England,44,RI,Rhode Island,Cold,5A,U,,,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1
102292,MIDWEST,West North Central,38,ND,North Dakota,Very-Cold,7A,R,,,,,2,1,0,0,0,1,0,-2,1,1,2,1,5
102293,SOUTH,South Atlantic,12,FL,Florida,Hot-Humid,2A,U,,,,,2,0,0,1,0,-2,1,0,1,1,3,1,6
102294,WEST,Pacific,15,HI,Hawaii,Hot-Humid,1A,U,,,,,3,1,0,0,0,1,0,-2,2,0,-2,1,4
102295,WEST,Mountain South,04,AZ,Arizona,Hot-Dry,2B,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,7
102296,WEST,Mountain North,49,UT,Utah,Cold,5B,U,,,,,2,1,0,0,0,1,1,0,1,1,2,2,6
102297,SOUTH,South Atlantic,12,FL,Florida,Hot-Humid,2A,R,,,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,7
102298,SOUTH,South Atlantic,11,DC,District of Columbia,Mixed-Humid,4A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,8
102299,SOUTH,South Atlantic,13,GA,Georgia,Mixed-Humid,3A,U,,,,,2,0,1,0,0,-2,1,0,1,0,-2,2,1
102300,SOUTH,East South Central,47,TN,Tennessee,Mixed-Humid,4A,U,,,,,3,0,0,1,0,-2,1,0,1,0,-2,2,3
102301,SOUTH,South Atlantic,12,FL,Florida,Hot-Humid,2A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,5
102302,SOUTH,South Atlantic,10,DE,Delaware,Mixed-Humid,4A,U,,,,,3,0,0,1,0,-2,1,0,2,0,-2,1,7
102303,MIDWEST,West North Central,19,IA,Iowa,Cold,5A,U,,,,,3,1,0,0,0,1,1,0,1,1,3,1,4
102304,WEST,Mountain North,56,WY,Wyoming,Cold,6B,C,,,,,2,1,0,0,0,1,0,-2,1,1,1,1,3
102305,WEST,Pacific,06,CA,California,Hot-Dry,3B,U,,,,,2,0,0,1,0,-2,1,0,1,1,3,1,6
102306,SOUTH,West South Central,05,AR,Arkansas,Mixed-Humid,4A,U,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,6
102307,SOUTH,East South Central,28,MS,Mississippi,Hot-Humid,3A,U,,,,,2,1,1,0,0,1,1,0,3,1,2,1,6
102308,MIDWEST,East North Central,55,WI,Wisconsin,Cold,6A,C,,,,,2,1,0,0,0,1,0,-2,2,1,3,1,5
102309,SOUTH,West South Central,40,OK,Oklahoma,Mixed-Humid,3A,U,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,6
102310,WEST,Mountain South,32,NV,Nevada,Hot-Dry,3B,U,,,,,2,0,0,1,0,-2,0,-2,2,1,3,1,5
102311,MIDWEST,West North Central,38,ND,North Dakota,Cold,6A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4
102312,SOUTH,West South Central,48,TX,Texas,Hot-Humid,2A,U,,,,,2,0,0,1,0,-2,1,1,2,1,2,1,7
102313,MIDWEST,West North Central,46,SD,South Dakota,Cold,6A,U,,,,,2,1,0,0,0,1,1,0,4,1,2,1,5
102314,SOUTH,West South Central,48,TX,Texas,Hot-Humid,3A,U,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,5
102315,WEST,Mountain South,04,AZ,Arizona,Cold,5B,C,,,,,2,0,1,0,0,-2,0,-2,2,1,2,1,6
102316,MIDWEST,West North Central,38,ND,North Dakota,Very-Cold,7A,R,,,,,2,1,0,0,0,0,1,0,1,1,3,1,9
102317,SOUTH,West South Central,22,LA,Louisiana,Hot-Humid,2A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3
102318,WEST,Mountain North,08,CO,Colorado,Cold,5B,U,,,,,2,1,0,0,0,1,1,0,2,1,3,1,6
102319,MIDWEST,West North Central,38,ND,North Dakota,Very-Cold,7A,R,,,,,3,0,1,0,0,-2,0,-2,1,1,2,1,7
102320,WEST,Pacific,06,CA,California,Hot-Dry,3B,C,,,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3
102321,WEST,Pacific,53,WA,Washington,Marine,4C,R,,,,,2,0,1,0,1,-2,0,-2,1,0,-2,2,7
102322,SOUTH,East South Central,21,KY,Kentucky,Mixed-Humid,4A,C,,,,,2,0,0,1,0,-2,1,0,1,0,-2,2,4
102323,SOUTH,East South Central,47,TN,Tennessee,Mixed-Humid,4A,R,,,,,2,1,0,0,0,1,1,0,1,1,2,1,7
102324,MIDWEST,East North Central,39,OH,Ohio,Cold,5A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,5
102325,WEST,Mountain North,56,WY,Wyoming,Cold,6B,C,,,,,2,1,1,0,0,1,1,0,1,1,3,1,3
102326,SOUTH,South Atlantic,13,GA,Georgia,Mixed-Humid,3A,U,,,,,2,0,1,0,1,-2,0,-2,3,1,1,1,5
102327,SOUTH,West South Central,48,TX,Texas,Hot-Humid,3A,U,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,6
102328,MIDWEST,East North Central,17,IL,Illinois,Cold,5A,U,,,,,2,1,0,0,0,1,1,0,2,1,2,1,7
102329,MIDWEST,West North Central,31,NE,Nebraska,Cold,5A,R,,,,,2,1,0,0,0,1,1,0,1,1,2,1,5
102330,SOUTH,West South Central,40,OK,Oklahoma,Mixed-Humid,3A,U,,,,,2,0,0,1,0,-2,1,0,1,1,3,1,7
102331,WEST,Mountain North,08,CO,Colorado,Cold,5B,U,,,,,2,0,1,1,0,-2,0,-2,2,0,-2,1,5
102332,MIDWEST,East North Central,17,IL,Illinois,Cold,5A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,5
102333,SOUTH,East South Central,21,KY,Kentucky,Mixed-Humid,4A,R,,,,,2,0,1,1,0,-2,1,0,1,0,-2,1,4
102334,SOUTH,West South Central,05,AR,Arkansas,Mixed-Humid,3A,R,,,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4
102335,SOUTH,East South Central,21,KY,Kentucky,Mixed-Humid,4A,U,,,,,2,1,0,0,0,0,1,0,2,1,2,1,7
102336,WEST,Mountain North,49,UT,Utah,Hot-Dry,3B,R,,,,,2,0,0,1,0,-2,0,-2,1,1,3,1,7
102337,MIDWEST,West North Central,31,NE,Nebraska,Cold,5A,C,,,,,2,1,0,1,0,1,1,0,1,1,2,1,7
102338,SOUTH,West South Central,40,OK,Oklahoma,Mixed-Humid,3A,R,,,,,3,0,1,0,0,-2,1,0,1,1,1,1,6
102339,SOUTH,South Atlantic,10,DE,Delaware,Mixed-Humid,4A,C,,,,,2,0,1,0,0,-2,0,-2,1,1,2,1,6
102340,NORTHEAST,Middle Atlantic,36,NY,New York,Cold,5A,R,,,,,2,1,0,0,0,0,1,1,2,1,2,1,1
102341,WEST,Mountain South,32,NV,Nevada,Hot-Dry,3B,C,,,,,2,0,0,1,0,-2,0,-2,1,1,2,2,7
102342,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,Cold,5A,U,,,,,2,1,0,1,0,0,0,-2,1,0,-2,1,2
102343,WEST,Pacific,15,HI,Hawaii,Hot-Humid,1A,U,,,,,2,0,1,1,0,-2,1,0,1,1,2,1,3
102344,WEST,Pacific,41,OR,Oregon,Marine,4C,C,,,,,3,0,0,1,0,-2,0,-2,1,0,-2,2,3
102345,MIDWEST,East North Central,55,WI,Wisconsin,Cold,6A,U,,,,,2,1,0,0,0,0,1,0,2,1,2,1,5
102346,SOUTH,South Atlantic,12,FL,Florida,Hot-Humid,1A,U,,,,,2,0,0,1,0,-2,0,-2,1,0,-2,1,1
102347,SOUTH,West South Central,48,TX,Texas,Hot-Humid,2A,U,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,5
102348,WEST,Pacific,41,OR,Oregon,Marine,4C,U,,,,,2,1,0,0,0,1,1,0,1,1,3,1,2
102349,MIDWEST,West North Central,38,ND,North Dakota,Cold,6A,U,,,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2
102350,NORTHEAST,Middle Atlantic,36,NY,New York,Cold,6A,C,,,,,2,1,0,1,0,0,1,0,2,1,1,1,1
102351,WEST,Mountain North,08,CO,Colorado,Cold,5B,U,,,,,2,1,0,1,0,1,1,0,3,1,2,1,4
102352,WEST,Mountain North,08,CO,Colorado,Cold,5B,R,,,,,2,0,0,1,0,-2,0,-2,2,1,3,1,6
102353,SOUTH,West South Central,48,TX,Texas,Hot-Humid,2A,U,,,,,2,0,0,1,0,-2,0,-2,1,0,-2,1,4
102354,MIDWEST,West North Central,20,KS,Kansas,Mixed-Humid,4A,C,,,,,2,1,0,1,0,1,1,0,5,1,3,1,7
102355,MIDWEST,West North Central,27,MN,Minnesota,Cold,6A,U,,,,,2,1,0,0,0,0,1,0,1,0,-2,1,1
102356,SOUTH,South Atlantic,51,VA,Virginia,Mixed-Humid,4A,R,,,,,2,1,0,1,0,0,1,0,2,1,3,1,9
102357,WEST,Mountain North,08,CO,Colorado,Very-Cold,7B,C,,,,,2,0,1,0,0,-2,1,1,1,0,-2,2,8
102358,SOUTH,South Atlantic,45,SC,South Carolina,Hot-Humid,3A,R,,,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,7
102359,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,Mixed-Humid,4A,R,,,,,2,1,0,0,0,0,0,-2,2,0,-2,2,4
102360,MIDWEST,West North Central,20,KS,Kansas,Mixed-Humid,4A,U,,,,,2,1,0,0,0,1,1,0,1,1,1,1,2
102361,WEST,Mountain North,16,ID,Idaho,Cold,5B,U,,,,,2,1,0,0,0,0,1,0,1,1,2,1,4
102362,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,Cold,5A,U,,,,,2,1,0,0,0,1,0,-2,2,1,2,1,3
102363,SOUTH,South Atlantic,10,DE,Delaware,Mixed-Humid,4A,U,,,,,2,1,0,0,0,0,1,0,3,1,1,1,2
102364,NORTHEAST,New England,09,CT,Connecticut,Cold,5A,U,,,,,2,1,0,0,0,1,1,0,1,1,1,1,2
102365,NORTHEAST,New England,25,MA,Massachusetts,Cold,5A,U,,,,,2,1,1,1,0,1,0,-2,2,1,1,1,2
102366,NORTHEAST,Middle Atlantic,36,NY,New York,Cold,5A,R,,,,,2,1,0,0,1,0,0,-2,2,1,2,1,3
102367,WEST,Mountain South,04,AZ,Arizona,Hot-Dry,2B,U,,,,,2,0,1,0,0,-2,0,-2,1,1,2,2,4
102368,SOUTH,West South Central,40,OK,Oklahoma,Mixed-Humid,3A,U,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,6
102369,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,Mixed-Humid,4A,U,,,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,9
102370,WEST,Mountain North,08,CO,Colorado,Cold,5B,U,,,,,2,0,0,1,0,-2,1,0,2,1,2,1,7
102371,WEST,Mountain South,04,AZ,Arizona,Hot-Dry,2B,U,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,7
102372,SOUTH,East South Central,28,MS,Mississippi,Mixed-Humid,3A,C,,,,,2,0,0,1,0,-2,0,-2,1,0,-2,2,5
102373,SOUTH,East South Central,28,MS,Mississippi,Hot-Humid,2A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,7
102374,SOUTH,South Atlantic,12,FL,Florida,Hot-Humid,2A,U,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,7
102375,WEST,Mountain North,56,WY,Wyoming,Cold,6B,C,,,,,2,1,1,1,0,0,1,0,2,1,2,1,5
102376,WEST,Pacific,06,CA,California,Hot-Dry,3B,U,,,,,2,0,1,0,0,-2,1,0,1,0,-2,1,2
102377,MIDWEST,East North Central,17,IL,Illinois,Cold,5A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4
102378,SOUTH,South Atlantic,10,DE,Delaware,Mixed-Humid,4A,R,,,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4
102379,MIDWEST,East North Central,39,OH,Ohio,Cold,5A,U,,,,,2,0,0,1,0,-2,0,-2,1,0,-2,2,1
102380,WEST,Pacific,06,CA,California,Marine,3C,R,,,,,2,0,1,0,0,-2,1,0,1,0,-2,1,8
102381,NORTHEAST,Middle Atlantic,36,NY,New York,Cold,6A,R,,,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,9
102382,MIDWEST,West North Central,31,NE,Nebraska,Cold,5A,R,,,,,2,1,0,0,0,1,0,-2,2,0,-2,1,5
102383,SOUTH,East South Central,47,TN,Tennessee,Mixed-Humid,4A,U,,,,,2,1,0,0,0,0,1,1,2,0,-2,1,1
102384,SOUTH,South Atlantic,12,FL,Florida,Hot-Humid,2A,R,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,5
102385,NORTHEAST,New England,33,NH,New Hampshire,Cold,5A,U,,,,,2,1,0,0,0,0,1,0,1,1,2,1,5
102386,SOUTH,South Atlantic,45,SC,South Carolina,Hot-Humid,3A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,9
102387,SOUTH,South Atlantic,45,SC,South Carolina,Mixed-Humid,3A,R,,,,,2,1,0,0,0,0,1,0,1,0,-2,1,3
102388,MIDWEST,West North Central,38,ND,North Dakota,Very-Cold,7A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,9
102389,WEST,Mountain South,04,AZ,Arizona,Hot-Dry,2B,U,,,,,3,0,0,1,0,-2,0,-2,1,0,-2,1,3
102390,SOUTH,East South Central,21,KY,Kentucky,Mixed-Humid,4A,R,,,,,2,0,1,0,1,-2,0,-2,1,0,-2,1,8
102391,WEST,Pacific,02,AK,Alaska,Very-Cold,7AK,R,,,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4
102392,SOUTH,South Atlantic,12,FL,Florida,Hot-Humid,2A,U,,,,,2,0,1,0,0,-2,1,0,1,1,2,1,7
102393,MIDWEST,West North Central,19,IA,Iowa,Cold,5A,U,,,,,2,1,0,0,0,1,1,0,2,1,2,2,7
102394,MIDWEST,West North Central,38,ND,North Dakota,Very-Cold,7A,R,,,,,2,0,1,0,0,-2,0,-2,5,1,2,1,4
102395,SOUTH,West South Central,22,LA,Louisiana,Hot-Humid,3A,R,,,,,2,0,1,0,0,-2,1,0,1,1,1,1,4
102396,WEST,Mountain North,08,CO,Colorado,Cold,5B,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4
102397,NORTHEAST,New England,50,VT,Vermont,Cold,6A,C,,,,,2,1,1,0,0,0,0,-2,2,0,-2,2,2
102398,MIDWEST,West North Central,38,ND,North Dakota,Very-Cold,7A,U,,,,,2,1,0,0,1,1,1,0,2,1,3,1,7
102399,SOUTH,East South Central,47,TN,Tennessee,Mixed-Humid,4A,U,,,,,2,0,1,0,0,-2,1,1,1,0,-2,2,6
102400,NORTHEAST,Middle Atlantic,36,NY,New York,Mixed-Humid,4A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1
102401,SOUTH,East South Central,47,TN,Tennessee,Mixed-Humid,4A,R,,,,,2,0,0,1,0,-2,1,0,2,1,3,2,8
102402,MIDWEST,East North Central,55,WI,Wisconsin,Cold,6A,U,,,,,3,1,0,0,0,1,0,-2,1,1,2,1,8
102403,SOUTH,South Atlantic,10,DE,Delaware,Mixed-Humid,4A,C,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,7
102404,MIDWEST,East North Central,26,MI,Michigan,Cold,5A,U,,,,,2,1,0,0,0,1,1,0,2,1,3,1,4
102405,SOUTH,East South Central,21,KY,Kentucky,Mixed-Humid,4A,R,,,,,2,0,1,1,0,-2,1,1,2,1,1,1,5
102406,WEST,Pacific,06,CA,California,Marine,3C,R,,,,,2,0,1,1,0,-2,0,-2,2,1,1,1,5
102407,NORTHEAST,Middle Atlantic,36,NY,New York,Mixed-Humid,4A,U,,,,,2,1,0,1,0,1,0,-2,3,0,-2,1,1
102408,MIDWEST,West North Central,19,IA,Iowa,Cold,5A,U,,,,,2,1,0,0,0,1,0,-2,1,1,3,1,7
102409,WEST,Mountain South,35,NM,New Mexico,Hot-Dry,3B,U,,,,,3,0,0,1,0,-2,0,-2,1,0,-2,2,4
102410,MIDWEST,East North Central,18,IN,Indiana,Cold,5A,U,,,,,2,1,0,0,0,0,1,0,2,0,-2,1,1
102411,NORTHEAST,Middle Atlantic,36,NY,New York,Cold,5A,C,,,,,2,1,0,0,0,1,1,0,1,1,2,1,2
102412,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,Cold,5A,U,,,,,2,1,0,0,1,1,1,0,1,1,1,1,2
102413,SOUTH,South Atlantic,37,NC,North Carolina,Mixed-Humid,4A,U,,,,,2,1,0,0,0,1,1,0,2,0,-2,1,4
102414,NORTHEAST,New England,23,ME,Maine,Cold,6A,R,,,,,2,1,0,0,0,0,0,-2,1,1,2,1,3
102415,WEST,Pacific,06,CA,California,Hot-Dry,3B,U,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,3
102416,SOUTH,West South Central,22,LA,Louisiana,Hot-Humid,2A,U,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,7
102417,SOUTH,East South Central,47,TN,Tennessee,Mixed-Humid,4A,C,,,,,2,1,1,0,0,0,1,0,1,1,1,1,4
102418,MIDWEST,East North Central,26,MI,Michigan,Cold,5A,R,,,,,2,1,1,0,0,0,1,0,1,1,2,1,2
102419,SOUTH,West South Central,48,TX,Texas,Hot-Humid,2A,U,,,,,3,0,0,1,0,-2,0,-2,1,0,-2,2,3
102420,MIDWEST,East North Central,55,WI,Wisconsin,Very-Cold,7A,U,,,,,2,1,0,0,0,1,1,1,1,0,-2,1,2
102421,SOUTH,West South Central,48,TX,Texas,Hot-Humid,2A,U,,,,,2,0,0,1,0,-2,1,0,2,1,2,1,5
102422,SOUTH,South Atlantic,51,VA,Virginia,Mixed-Humid,4A,U,,,,,3,0,1,0,0,-2,0,-2,2,0,-2,2,6
102423,MIDWEST,West North Central,31,NE,Nebraska,Cold,5A,R,,,,,3,1,0,0,0,1,1,0,2,1,2,3,6
102424,MIDWEST,West North Central,29,MO,Missouri,Mixed-Humid,4A,U,,,,,3,0,1,0,0,-2,1,0,1,1,2,1,6
102425,MIDWEST,West North Central,29,MO,Missouri,Mixed-Humid,4A,U,,,,,2,1,1,0,0,1,0,-2,5,1,2,2,4
102426,WEST,Pacific,06,CA,California,Hot-Dry,3B,U,,,,,2,0,0,1,1,-2,0,-2,2,0,-2,2,4
102427,WEST,Pacific,15,HI,Hawaii,Hot-Humid,1A,U,,,,,2,1,0,0,0,1,1,0,2,1,2,1,4
102428,WEST,Mountain North,30,MT,Montana,Cold,6B,C,,,,,2,1,1,0,0,1,0,-2,1,1,2,1,3
102429,SOUTH,West South Central,48,TX,Texas,Hot-Humid,2A,U,,,,,2,0,0,1,0,-2,1,0,1,0,-2,2,3
102430,SOUTH,East South Central,01,AL,Alabama,Hot-Humid,3A,C,,,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4
