DOEID,REGIONC,DIVISION,STATE_FIPS,state_postal,state_name,BA_climate,IECC_climate_code,UATYP10,,,,,TYPEHUQ,CELLAR,CRAWL,CONCRETE,BASEOTH,BASEFIN,ATTIC,ATTICFIN,STORIES,PRKGPLC1,SIZEOFGARAGE,KOWNRENT,YEARMADERANGE
100044,NORTHEAST,New England,33,NH,New Hampshire,Cold,5A,C,,,,,2,1,1,0,0,0,1,0,2,0,-2,1,1
100045,MIDWEST,East North Central,26,MI,Michigan,Cold,5A,U,,,,,2,1,0,0,0,0,1,0,2,0,-2,1,7
100046,WEST,Pacific,06,CA,California,Hot-Dry,3B,U,,,,,2,0,1,0,0,-2,0,-2,1,0,-2,1,1
100047,SOUTH,South Atlantic,24,MD,Maryland,Mixed-Humid,4A,U,,,,,3,1,0,1,0,1,1,0,3,0,-2,1,7
100048,NORTHEAST,Middle Atlantic,36,NY,New York,Cold,5A,U,,,,,3,1,0,0,0,1,1,0,5,0,-2,2,9
100049,SOUTH,South Atlantic,24,MD,Maryland,Mixed-Humid,4A,U,,,,,3,0,0,1,0,-2,0,-2,2,0,-2,2,6
100050,WEST,Mountain South,04,AZ,Arizona,Hot-Dry,2B,U,,,,,2,0,0,1,0,-2,0,-2,2,1,2,1,6
100051,MIDWEST,East North Central,26,MI,Michigan,Cold,5A,U,,,,,2,1,0,0,0,0,0,-2,2,1,2,1,6
100052,SOUTH,South Atlantic,51,VA,Virginia,Mixed-Humid,4A,U,,,,,2,1,0,0,0,1,1,0,2,1,2,1,5
100053,SOUTH,South Atlantic,24,MD,Maryland,Mixed-Humid,4A,U,,,,,3,1,0,1,0,1,0,-2,2,0,-2,1,1
100054,MIDWEST,East North Central,26,MI,Michigan,Cold,5A,U,,,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4
100055,WEST,Mountain North,08,CO,Colorado,Cold,5B,U,,,,,2,1,0,0,0,1,1,0,2,1,3,1,6
100056,SOUTH,South Atlantic,37,NC,North Carolina,Mixed-Humid,4A,U,,,,,2,1,0,0,0,0,1,0,1,0,-2,1,3
100057,NORTHEAST,Middle Atlantic,36,NY,New York,Mixed-Humid,4A,U,,,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,8
100058,MIDWEST,East North Central,17,IL,Illinois,Cold,5A,R,,,,,2,1,0,0,0,1,1,0,1,1,2,1,4
100059,SOUTH,East South Central,21,KY,Kentucky,Mixed-Humid,4A,C,,,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,6
100060,WEST,Mountain North,08,CO,Colorado,Cold,5B,U,,,,,2,0,1,0,0,-2,0,-2,3,1,1,1,5
100061,NORTHEAST,Middle Atlantic,36,NY,New York,Mixed-Humid,4A,U,,,,,3,1,0,0,0,1,0,-2,3,1,2,2,7
100062,MIDWEST,West North Central,38,ND,North Dakota,Very-Cold,7A,R,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,8
100063,WEST,Pacific,06,CA,California,Hot-Dry,3B,U,,,,,2,0,1,0,0,-2,1,0,2,1,1,1,1
100064,SOUTH,South Atlantic,13,GA,Georgia,Mixed-Humid,3A,R,,,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,8
100065,SOUTH,South Atlantic,54,WV,West Virginia,Cold,5A,R,,,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4
100066,SOUTH,West South Central,48,TX,Texas,Hot-Humid,2A,U,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,4
100067,NORTHEAST,New England,44,RI,Rhode Island,Cold,5A,U,,,,,2,1,0,0,0,1,1,0,2,1,2,1,6
100068,NORTHEAST,New England,50,VT,Vermont,Cold,6A,R,,,,,2,1,0,0,1,0,1,0,2,0,-2,1,3
100069,MIDWEST,East North Central,26,MI,Michigan,Cold,5A,R,,,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,6
100070,SOUTH,South Atlantic,24,MD,Maryland,Mixed-Humid,4A,U,,,,,3,1,0,0,0,1,1,0,2,0,-2,1,1
100071,MIDWEST,West North Central,38,ND,North Dakota,Cold,6A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3
100072,SOUTH,South Atlantic,45,SC,South Carolina,Mixed-Humid,3A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,8
100073,WEST,Pacific,41,OR,Oregon,Marine,4C,U,,,,,2,1,0,0,0,1,0,-2,1,1,2,1,3
100074,SOUTH,South Atlantic,12,FL,Florida,Hot-Humid,1A,U,,,,,2,0,0,1,0,-2,1,0,2,1,1,1,5
100075,MIDWEST,West North Central,29,MO,Missouri,Mixed-Humid,4A,U,,,,,2,1,0,0,0,1,1,0,2,1,1,1,2
100076,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,Mixed-Humid,4A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,5
100077,SOUTH,South Atlantic,12,FL,Florida,Hot-Humid,2A,U,,,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,7
100078,WEST,Mountain North,49,UT,Utah,Cold,5B,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4
100079,NORTHEAST,New England,09,CT,Connecticut,Cold,5A,U,,,,,3,1,0,0,0,1,1,0,2,1,1,1,4
100080,SOUTH,West South Central,48,TX,Texas,Hot-Dry,3B,U,,,,,2,0,0,1,0,-2,1,0,1,0,-2,1,4
100081,MIDWEST,West North Central,38,ND,North Dakota,Very-Cold,7A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4
100082,NORTHEAST,New England,23,ME,Maine,Cold,6A,U,,,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4
100083,SOUTH,East South Central,47,TN,Tennessee,Mixed-Humid,4A,U,,,,,2,0,1,0,0,-2,0,-2,1,1,2,1,2
100084,MIDWEST,East North Central,55,WI,Wisconsin,Cold,6A,U,,,,,2,1,0,1,0,0,0,-2,2,0,-2,2,2
100085,MIDWEST,East North Central,39,OH,Ohio,Cold,5A,U,,,,,2,1,0,0,0,0,1,0,2,1,2,1,6
100086,WEST,Pacific,06,CA,California,Hot-Dry,3B,C,,,,,2,0,1,0,0,-2,1,0,2,1,2,1,6
100087,SOUTH,East South Central,47,TN,Tennessee,Mixed-Humid,4A,R,,,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,6
