,DIVISION,YRCONC,SQM,NormalizedGasKWh,NormalizedElecKWh,NormalizedHeatKWh,NormalizedCoolKWh
82,9,1,27870.9,3.37881970097844,104.02150630227226,75.72028704347545,2.110179759785296
83,6,2,278.709,55.442994470935645,97.3129680060565,104.11308131779025,32.05485421712252
84,2,1,26477.355,197.7378880092819,93.183741351808,190.38356152791698,20.831947212703085
86,9,2,7896.755,35.40498074487559,83.70058334087862,11.044521211940856,11.647270836438514
87,2,0,29728.96,227.44615448545798,54.53070003121535,200.74570317437949,16.942225739144593
89,3,0,16350.928,407.4511589043142,105.04364033649955,353.8730955074844,15.036610593478244
92,9,0,6038.695,73.78574603237952,30.318305527932775,24.29307118110784,7.218044729366197
94,8,2,1834.8342499999999,138.76783791560467,77.9977809984744,128.01491416186505,15.262312256815571
95,3,1,8082.561,39.754885360469295,263.43407739205435,30.131133649594485,74.70282618071178
96,3,1,111.4836,535.7757945383896,454.9278997090155,186.99103097675354,32.88661480253598
97,3,3,2322.575,49.094905148380576,5.208443214966148,48.70676422892695,0.21766680300959068
98,8,1,23690.265,11.47089825272111,72.48741202346196,46.22469711769793,1.0771630503922183
99,8,2,4830.956,44.671258100260076,72.00148376429013,39.348431187533066,5.914312790470459
100,2,0,14678.673999999999,14.094354758883537,15.112332353726229,13.931493989102833,0.0
104,6,1,3716.12,89.85388152454712,96.03026812912393,89.85388152454712,16.600958103882547
106,2,0,9476.106,133.70305537960425,65.87326059881559,131.357183729266,3.442215853220722
110,7,1,5109.665,97.93973723717701,115.98666448778931,4.385570248147384,32.477779763839706
111,9,3,622.4501,63.621986639571595,112.97130484837258,64.60697247538397,47.40314960026515
113,5,3,9290.3,42.86373549648559,63.64875192404982,42.20881078673456,15.29888475205322
114,3,1,16350.928,87.02207298197386,93.03539224195715,86.38687092072084,11.046805338510453
115,7,1,19974.145,43.09085213464707,51.50102795388739,55.80951885885479,11.968358176482647
116,4,2,8732.882,226.04536407030352,293.4088654810634,225.01156421419643,9.000284032121357
117,6,3,5388.374,128.15016089751754,162.63180692357287,30.266944246074978,32.5688713084875
119,3,3,5945.792,36.528393351802414,95.03897882737908,36.528393351802414,6.322984033077511
120,3,2,31587.02,164.34537637320648,92.45680662499976,57.420122227326296,7.151848270650413
125,8,1,10405.136,60.00536915125377,39.79534722083402,59.75446647511383,5.425671790546515
126,3,2,24154.78,119.99401810171736,79.96905788419518,109.670399520716,7.506883966403338
128,3,2,5945.792,138.2490293052633,145.4147740116035,110.02761149195936,7.003094211502859
131,9,0,167.2254,334.9702822836722,297.41893276978254,200.61974187533713,10.765919250305277
134,1,2,11519.972,53.52532517457508,190.09620856717362,34.81020319771611,11.133087112277705
136,7,2,1045.15875,56.544577769645045,94.29572301815394,37.599924786545586,25.278511593573707
137,6,0,6410.307,6.243164871198838,108.1614343899598,3.4341155726239014,59.68143939986027
139,3,2,46451.592903,97.28080951370687,29.854433687470742,96.9274202793209,4.162405557819155
140,5,3,5574.18,34.52295391124793,124.5799382151276,47.2073028388032,0.0
143,1,3,28799.93,161.20887813303716,75.81372593613943,130.57487560327405,8.265863771960557
144,5,2,7896.755,67.48494798331721,202.18722753840026,66.21747029254422,39.60055012482976
145,1,0,9476.106,42.95882292082845,3.654982331350029,8.247617224522395,0.8391212985587119
147,8,0,464.515,513.9302494537314,104.3776842513159,195.77646272779137,5.585519440706975
149,5,2,44593.44,5.817874809680527,283.3616110351657,0.11315124841232253,86.76478080737884
150,3,2,2787.09,144.4653520044204,132.1026590458148,26.94651929431773,16.743203885414538
152,9,3,20438.66,175.42603621250123,189.35610260163827,30.562756407954343,20.75960569122438
156,5,3,687.4822,384.7962000325245,517.3981231804984,48.55214491807934,111.18570353966983
159,1,3,1045.15875,175.75251889150812,137.7168779383993,167.2516663310717,15.826234282591042
160,9,1,7803.852,96.0991424355562,107.88313258631763,2.4350440833578086,12.060152941906127
161,7,3,6131.598,12.584573026966217,111.81620191017089,160.30299698561453,10.482420268256336
163,8,3,952.25575,251.6191310989721,134.2633005891537,251.5714275224907,3.6636346737733008
164,9,1,4273.538,3.17564481630911,31.249985375115422,2.6077497956026137,1.18832084516389
166,8,2,16350.928,48.52836922038921,143.06796531670864,56.586288875775125,3.0459909560484886
167,4,3,13378.032,56.61974467126406,431.09928276446044,44.1009898825926,101.0428971952676
169,2,0,25083.81,78.03066301203845,44.030751309310666,74.29351211147748,5.408009417189813
170,3,1,3437.411,23.96687987732628,32.23996199465237,26.750934630743895,0.5766934020982653
171,8,3,1858.06,111.54571914577572,152.65868701764205,110.52031922811967,8.062504567129157
173,5,2,14121.256,75.84650390361877,156.98093710644437,74.70775868867473,16.28107423964271
176,7,3,24154.78,6.793824991326769,62.066597170415136,3.827210888569468,35.94716292920077
177,5,3,33909.595,544.3731708719612,251.9826615446159,491.71515047469603,109.56778172788559
178,2,2,7246.434,62.76277881562159,216.43486989600677,57.72995186777386,7.797421829550921
181,3,3,16350.928,168.17983234333857,248.56937783592466,135.6222808507872,13.387350804370248
182,3,2,650.321,96.94735196156975,27.352645847204688,82.17395002314242,1.5029374493519356
184,1,3,12820.614,146.7645507630914,71.67035837753168,133.08903151994127,11.253570306071147
187,8,2,483.0956,104.43881309620707,133.27175821928412,104.07300183027957,6.29340973919034
188,8,3,4645.242903,129.80353818453486,84.20140952099528,121.89437875645143,4.742959416131097
189,2,2,23225.75,5.378035658568615,217.15832642648783,24.71797716409589,9.587370932908518
190,3,3,510.9665,266.1964627446222,112.98196652813834,266.1964627446222,0.0
192,2,2,11891.584,139.3462848989672,99.50633994596514,111.404886358285,21.376422847872917
195,4,1,385.54745,111.957587153021,51.153236780583036,109.80790418144382,4.916601647864614
196,3,1,167.2254,227.75799022158117,436.5425348063153,225.01524829960042,26.27774592854913
197,6,0,566.7083,15.49318068748949,75.91736348311821,13.027945120973172,52.89835973639349
199,4,3,929.03,82.07237218173795,119.68720062861264,79.95595684638818,11.81773010774679
200,7,1,13935.45,163.4522274401616,297.42986412351235,45.269984169581896,32.76434284188885
203,5,3,34374.11,4.982532093427292,164.26208562199864,15.896625246588203,16.264126612703574
204,8,3,668.9016,392.4981987530005,108.32535009633703,392.4981987530005,6.1168402512417375
205,5,2,5388.374,118.55868029353569,397.1016117292527,104.0116630189367,97.15532189265261
206,5,0,4923.859,68.45248950954932,466.12281139650827,43.57419172766726,85.65739263898499
209,4,3,2787.09,119.84933964493432,72.32633320057838,116.08612247290185,11.160102964741002
210,2,1,1207.739,108.23427180955488,208.06896191975252,94.55572106390537,12.372307266719053
215,9,1,1254.1905,11.137810519215384,82.2658120915443,6.495186748743514,12.718611294695664
221,5,0,222.9672,15.429894930734209,523.2608204256052,73.47174690716842,43.73972345259752
